City,State,Population,Area
New York,New York,8175133,302.6
Los Angeles,California,3792621,468.7
Chicago,Illinois,2695598,227.6
Houston,Texas,2100263,599.6
Philadelphia,Pennsylvania,1526006,134.1
Phoenix,Arizona,1445632,516.7
San Antonio,Texas,1327407,460.9
San Diego,California,1307402,325.2
Dallas,Texas,1197816,340.5
San Jose,California,945942,176.6
Austin,Texas,790390,322.48
Jacksonville,Florida,821784,747
San Francisco,California,805235,46.9
Indianapolis,Indiana,820445,361.4
Columbus,Ohio,787033,217.2
Fort Worth,Texas,741206,339.8
Charlotte,North Carolina,731424,297.7
Seattle,Washington,608660,83.9
Denver,Colorado,600158,153
El Paso,Texas,649121,255.2
Detroit,Michigan,713777,138.8
Washington,District of Columbia,601723,61
Boston,Massachusetts,617594,48.3
Memphis,Tennessee,646889,315.1
Nashville,Tennessee,601222,475.1
Portland,Oregon,583776,133.4
Oklahoma City,Oklahoma,579999,606.4
Las Vegas,Nevada,583756,135.8
Baltimore,Maryland,620961,80.9
Louisville,Kentucky,597337,325.2
Milwaukee,Wisconsin,594833,96.1
Albuquerque,New Mexico,545852,187.7
Tucson,Arizona,520116,226.7
Fresno,California,494665,113.2
Sacramento,California,466488,97.9
Kansas City,Missouri,459787,315
Long Beach,California,462257,50.3
Mesa,Arizona,439041,136.5
Atlanta,Georgia,420003,133.2
Colorado Springs,Colorado,416427,194.5
Virginia Beach,Virginia,437994,249
Raleigh,North Carolina,403892,142.9
Omaha,Nebraska,408958,127.1
Miami,Florida,399457,35.9
Oakland,California,390724,55.9
Minneapolis,Minnesota,382578,54
Tulsa,Oklahoma,391906,196.8
Wichita,Kansas,382368,159.3
New Orleans,Louisiana,343829,169.4
Arlington,Texas,365438,95.9
Cleveland,Ohio,396815,77.7
Bakersfield,California,347483,142.2
Tampa,Florida,335709,113.4
Aurora,Colorado,325078,154.1
Honolulu,Hawaii,337256,60.5
Anaheim,California,336265,49.8
Santa Ana,California,324528,27.3
Corpus Christi,Texas,305215,160.6
Riverside,California,303871,81.1
St. Louis,Missouri,319294,61.9
Lexington,Kentucky,295803,283.6
Stockton,California,291707,61.7
Pittsburgh,Pennsylvania,305704,55.4
Saint Paul,Minnesota,285068,52
Anchorage,Alaska,291826,1
Cincinnati,Ohio,296943,77.9
Henderson,Nevada,257729,107.7
Greensboro,North Carolina,269666,126.5
Plano,Texas,259841,71.6
Newark,New Jersey,277140,24.2
Toledo,Ohio,287208,80.7
Lincoln,Nebraska,258379,89.1
Orlando,Florida,238300,102.4
Chula Vista,California,243916,49.6
Jersey City,New Jersey,247597,14.8
Chandler,Arizona,236123,64.4
Fort Wayne,Indiana,253691,110.6
Buffalo,New York,261310,40.4
Durham,North Carolina,228330,107.4
St. Petersburg,Florida,244769,61.7
Irvine,California,212375,66.1
Laredo,Texas,236091,88.9
Lubbock,Texas,229573,122.4
Madison,Wisconsin,233209,76.8
Gilbert,Arizona,208453,68
Norfolk,Virginia,242803,54.1
Reno,Nevada,225221,103
Winston–Salem,North Carolina,229617,132.4
Glendale,Arizona,226721,60
Hialeah,Florida,224669,21.5
Garland,Texas,226876,57.1
Scottsdale,Arizona,217385,183.9
Irving,Texas,216290,67
Chesapeake,Virginia,222209,340.8
North Las Vegas,Nevada,216961,101.3
Fremont,California,214089,77.5
Baton Rouge,Louisiana,229493,76.9
Richmond,Virginia,204214,59.8
Boise,Idaho,205671,79.4
San Bernardino,California,209924,59.2
Spokane,Washington,208916,59.2
Birmingham,Alabama,212237,146.1
Modesto,California,201165,36.9
Des Moines,Iowa,203433,80.9
Rochester,New York,210565,35.8
Tacoma,Washington,198397,49.7
Fontana,California,196069,42.4
